wavelength,total_nadir,ps1_nadir,ps2_nadir,total_vza-60,total_vza-55,total_vza-50,total_vza-45,total_vza-40,total_vza-35,total_vza-30,total_vza-25,total_vza-20,total_vza-15,total_vza-10,total_vza-5,total_vza0,total_vza5,total_vza10,total_vza15,total_vza20,total_vza25,total_vza30,total_vza35,total_vza40,total_vza45,total_vza50,total_vza55,total_vza60
790.00000000,0.16370976,0.14604975,0.01766001,0.25829772,0.24374226,0.23025006,0.21829421,0.20831599,0.20016561,0.19482037,0.19453714,0.23671191,0.18311569,0.17275614,0.16714199,0.16370976,0.16163490,0.16067654,0.16089059,0.16196848,0.16445358,0.16784462,0.17251361,0.17852085,0.18640520,0.19540016,0.20601292,0.21866340
791.00000000,0.15402627,0.14156439,0.01246188,0.24297698,0.22928789,0.21659867,0.20535445,0.19597007,0.18830432,0.18327592,0.18300557,0.22263577,0.17226632,0.16252903,0.15725199,0.15402627,0.15207681,0.15117719,0.15138034,0.15239560,0.15473472,0.15792571,0.16231881,0.16797031,0.17538763,0.18384909,0.19383218,0.20573144
792.00000000,0.14541232,0.13715899,0.00825334,0.22934937,0.21643087,0.20445585,0.19384460,0.18498841,0.17775375,0.17300722,0.17274854,0.21011727,0.16261595,0.15343182,0.14845449,0.14541232,0.14357428,0.14272684,0.14292019,0.14387966,0.14608885,0.14910180,0.15324940,0.15858441,0.16558619,0.17357305,0.18299596,0.19422696
793.00000000,0.13802179,0.13318415,0.00483765,0.21765793,0.20540057,0.19403834,0.18397016,0.17556714,0.16870238,0.16419782,0.16394951,0.19938112,0.15433720,0.14562715,0.14090667,0.13802179,0.13627918,0.13547634,0.13566110,0.13657258,0.13867010,0.14153014,0.14546690,0.15053019,0.15717524,0.16475470,0.17369679,0.18435424
794.00000000,0.13172742,0.12950728,0.00222014,0.20769317,0.19600008,0.18516085,0.17555616,0.16753993,0.16099090,0.15669292,0.15645366,0.19023368,0.14728528,0.13897957,0.13447817,0.13172742,0.13006616,0.12930130,0.12947866,0.13034908,0.13235121,0.13508066,0.13883740,0.14366869,0.15000919,0.15724088,0.16577252,0.17594042
795.00000000,0.12558584,0.12558584,0.00000000,0.19798086,0.18683684,0.17650654,0.16735285,0.15971300,0.15347125,0.14937442,0.14914440,0.18132104,0.14040773,0.13249486,0.12820632,0.12558584,0.12400354,0.12327545,0.12344540,0.12427572,0.12618481,0.12878699,0.13236833,0.13697368,0.14301758,0.14991065,0.15804269,0.16773403
796.00000000,0.12184935,0.12184935,0.00000000,0.19206353,0.18125475,0.17123516,0.16235684,0.15494678,0.14889259,0.14491845,0.14469368,0.17588802,0.13622083,0.12854836,0.12439006,0.12184935,0.12031543,0.11960996,0.11977557,0.12058155,0.12243403,0.12495868,0.12843313,0.13290071,0.13876374,0.14545026,0.15333851,0.16273906
797.00000000,0.11876106,0.11876106,0.00000000,0.18717159,0.17664015,0.16687761,0.15822710,0.15100714,0.14510815,0.14123561,0.14101546,0.17139955,0.13276069,0.12528670,0.12123595,0.11876106,0.11726704,0.11658017,0.11674205,0.11752779,0.11933329,0.12179367,0.12517955,0.12953302,0.13524625,0.14176174,0.14944816,0.15860798
798.00000000,0.11659388,0.11659388,0.00000000,0.18373373,0.17339767,0.16381623,0.15532620,0.14824017,0.14245052,0.13864955,0.13843265,0.16824590,0.13033152,0.12299737,0.11902239,0.11659388,0.11512797,0.11445420,0.11461346,0.11538494,0.11715736,0.11957246,0.12289595,0.12716904,0.13277675,0.13917177,0.14671602,0.15570628
799.00000000,0.11340052,0.11340052,0.00000000,0.17868757,0.16863664,0.15931949,0.15106366,0.14417309,0.13854309,0.13484683,0.13463550,0.16362277,0.12675809,0.11962684,0.11576181,0.11340052,0.11197525,0.11132024,0.11147530,0.11222566,0.11394938,0.11629805,0.11953006,0.12368547,0.12913871,0.13535752,0.14269385,0.15143629
800.00000000,0.11024954,0.11024954,0.00000000,0.17370492,0.16393596,0.15488021,0.14685600,0.14015875,0.13468671,0.13109414,0.13088873,0.15906268,0.12323233,0.11630116,0.11254458,0.11024954,0.10886426,0.10822763,0.10837834,0.10910766,0.11078303,0.11306581,0.11620716,0.12024599,0.12554625,0.13159060,0.13872113,0.14721832
801.00000000,0.10712890,0.10712890,0.00000000,0.16877756,0.15928680,0.15048893,0.14269323,0.13618670,0.13087050,0.12738030,0.12718092,0.15455404,0.11974244,0.11300841,0.10935868,0.10712890,0.10578299,0.10516442,0.10531075,0.10601924,0.10764681,0.10986452,0.11291632,0.11684006,0.12198930,0.12786145,0.13478884,0.14304399
802.00000000,0.10400157,0.10400157,0.00000000,0.16384083,0.15462870,0.14608914,0.13852231,0.13220681,0.12704673,0.12365909,0.12346585,0.15003783,0.11624559,0.10970885,0.10616605,0.10400157,0.10269503,0.10209450,0.10223641,0.10292398,0.10450362,0.10665609,0.10961814,0.11342655,0.11842444,0.12412405,0.13084791,0.13886055
803.00000000,0.10098566,0.10098566,0.00000000,0.15907951,0.15013612,0.14184568,0.13449959,0.12836833,0.12335879,0.12007002,0.11988255,0.14568046,0.11287284,0.10652661,0.10308706,0.10098566,0.09971718,0.09913411,0.09927182,0.09993928,0.10147279,0.10356240,0.10643799,0.11013524,0.11498727,0.12052056,0.12704821,0.13482707
804.00000000,0.09796506,0.09796506,0.00000000,0.15431176,0.14563740,0.13759635,0.13047124,0.12452441,0.11966559,0.11647582,0.11629418,0.14131782,0.10949521,0.10333960,0.10000337,0.09796506,0.09673464,0.09616902,0.09630250,0.09694980,0.09843708,0.10046375,0.10325273,0.10683867,0.11154462,0.11691135,0.12324254,0.13078730
805.00000000,0.09504860,0.09504860,0.00000000,0.14970861,0.14129395,0.13349365,0.12658187,0.12081310,0.11609978,0.11300557,0.11282957,0.13710562,0.10623405,0.10026246,0.09702598,0.09504860,0.09385492,0.09330616,0.09343555,0.09406341,0.09550606,0.09747196,0.10017735,0.10365584,0.10822080,0.11342676,0.11956831,0.12688711
806.00000000,0.09213143,0.09213143,0.00000000,0.14510491,0.13694994,0.12939037,0.12269189,0.11710116,0.11253332,0.10953466,0.10936427,0.13289274,0.10297219,0.09718463,0.09404789,0.09213143,0.09097451,0.09044260,0.09056791,0.09117632,0.09257437,0.09447952,0.09710132,0.10047239,0.10489636,0.10994159,0.11589351,0.12298638
807.00000000,0.08926586,0.08926586,0.00000000,0.14058305,0.13268310,0.12535995,0.11887094,0.11345505,0.10903008,0.10612526,0.10596038,0.12875460,0.09976809,0.09416127,0.09112249,0.08926586,0.08814503,0.08762968,0.08775100,0.08834031,0.08969455,0.09154004,0.09407977,0.09734533,0.10163087,0.10651823,0.11228395,0.11915493
808.00000000,0.08645496,0.08645496,0.00000000,0.13614755,0.12849773,0.12140644,0.11512289,0.10987847,0.10559362,0.10278081,0.10262126,0.12469472,0.09662496,0.09119551,0.08825286,0.08645496,0.08536957,0.08487049,0.08498791,0.08555853,0.08686983,0.08865685,0.09111611,0.09427823,0.09842802,0.10316060,0.10874371,0.11539711
809.00000000,0.08369108,0.08369108,0.00000000,0.13178708,0.12438309,0.11751970,0.11143808,0.10636221,0.10221508,0.09949273,0.09933851,0.12070432,0.09353479,0.08827954,0.08543132,0.08369108,0.08264048,0.08215735,0.08227091,0.08282311,0.08409218,0.08582168,0.08820181,0.09126222,0.09527854,0.09985894,0.10526254,0.11170204
810.00000000,0.08098039,0.08098039,0.00000000,0.12751074,0.12034782,0.11370789,0.10782428,0.10291368,0.09890160,0.09626794,0.09611890,0.11679048,0.09050405,0.08541967,0.08266406,0.08098039,0.07996391,0.07949645,0.07960623,0.08014039,0.08136807,0.08304118,0.08534374,0.08830444,0.09218990,0.09662110,0.10184869,0.10807848
811.00000000,0.07826906,0.07826906,0.00000000,0.12323394,0.11631205,0.10989556,0.10420994,0.09946458,0.09558753,0.09304254,0.09289868,0.11287602,0.08747268,0.08255917,0.07989616,0.07826906,0.07728672,0.07683491,0.07694093,0.07745706,0.07864334,0.08026009,0.08248509,0.08534609,0.08910072,0.09338274,0.09843435,0.10445444
812.00000000,0.07566468,0.07566468,0.00000000,0.11912251,0.11243268,0.10623132,0.10073632,0.09615006,0.09240303,0.08994345,0.08980468,0.10911447,0.08456043,0.07981129,0.07723738,0.07566468,0.07471515,0.07427839,0.07438073,0.07487946,0.07602585,0.07758828,0.07973855,0.08250352,0.08613213,0.09027047,0.09515260,0.10097076
813.00000000,0.07305950,0.07305950,0.00000000,0.11501056,0.10855275,0.10256647,0.09726204,0.09283486,0.08921781,0.08684362,0.08670991,0.10535214,0.08164740,0.07706261,0.07457778,0.07305950,0.07214278,0.07172105,0.07181974,0.07230107,0.07340758,0.07491571,0.07699129,0.07966025,0.08316288,0.08715758,0.09187027,0.09748655
814.00000000,0.07050585,0.07050585,0.00000000,0.11098048,0.10475001,0.09897448,0.09385679,0.08958547,0.08609578,0.08380526,0.08367650,0.10166451,0.07879207,0.07436835,0.07197082,0.07050585,0.06962129,0.06921431,0.06930940,0.06977370,0.07084114,0.07229607,0.07429846,0.07687336,0.08025255,0.08410652,0.08865319,0.09407166
815.00000000,0.06800376,0.06800376,0.00000000,0.10703228,0.10102448,0.09545537,0.09052059,0.08640192,0.08303698,0.08082840,0.08070447,0.09805162,0.07599447,0.07172852,0.06941650,0.06800376,0.06715070,0.06675817,0.06684976,0.06729738,0.06832655,0.06972939,0.07166010,0.07414287,0.07740117,0.08111729,0.08550136,0.09072609
816.00000000,0.06555210,0.06555210,0.00000000,0.10316429,0.09737457,0.09200763,0.08725199,0.08328284,0.08004009,0.07791176,0.07779258,0.09451214,0.07325341,0.06914197,0.06691369,0.06555210,0.06472989,0.06435150,0.06443965,0.06487093,0.06586263,0.06721443,0.06907493,0.07146746,0.07460734,0.07818845,0.08241326,0.08744823
817.00000000,0.06315102,0.06315102,0.00000000,0.09937669,0.09380048,0.08863146,0.08405118,0.08022840,0.07710526,0.07505551,0.07494099,0.09104626,0.07056905,0.06660885,0.06446255,0.06315102,0.06235901,0.06199446,0.06207924,0.06249451,0.06344951,0.06475135,0.06654311,0.06884730,0.07187126,0.07532019,0.07938909,0.08423828
818.00000000,0.06075045,0.06075045,0.00000000,0.09559046,0.09022760,0.08525637,0.08085134,0.07717484,0.07417122,0.07219998,0.07209007,0.08758110,0.06788527,0.06407627,0.06201192,0.06075045,0.05998863,0.05963793,0.05971937,0.06011866,0.06103701,0.06228893,0.06401202,0.06622795,0.06913608,0.07245295,0.07636605,0.08102961
819.00000000,0.05845830,0.05845830,0.00000000,0.09197259,0.08681387,0.08203187,0.07779452,0.07425797,0.07136872,0.06947260,0.06936713,0.08427073,0.06532224,0.06165786,0.05967190,0.05845830,0.05772536,0.05738790,0.05746612,0.05785011,0.05873338,0.05993753,0.06159491,0.06372637,0.06652366,0.06971415,0.07347818,0.07796413
820.00000000,0.05616104,0.05616104,0.00000000,0.08835035,0.08339564,0.07880275,0.07473297,0.07133628,0.06856132,0.06674025,0.06663917,0.08095523,0.06275411,0.05923435,0.05732677,0.05616104,0.05545698,0.05513278,0.05520780,0.05557653,0.05642477,0.05758121,0.05917293,0.06122001,0.06390656,0.06697079,0.07058587,0.07489433
821.00000000,0.05396414,0.05396414,0.00000000,0.08488700,0.08012730,0.07571519,0.07180560,0.06854261,0.06587691,0.06412761,0.06403079,0.07778582,0.06029848,0.05691685,0.05508414,0.05396414,0.05328766,0.05297609,0.05304803,0.05340214,0.05421685,0.05532765,0.05685659,0.05882296,0.06140362,0.06434711,0.06781976,0.07195854
